model,price
iPhone 13,1199
iPhone SE,679
iPhone 12,999
AirPods(3rd generation),279
AirPods Pro,399
AirPods(2nd generation),219
AirPods Max,899
Apple TV 4K,249
Apple Watch SE,429
Apple Watch Series 3,299
Sport Band,69
iPad,499
iPad Pro,1199
Apple Pencil (2nd generation),199
24-inch iMac,1899
MacBook Air,1499
Magic Mouse,109
